Experiment_identifier_1,Experiment_identifier_2,TargetOchConc,Control_Type,Time_0,Time_1,Time_2,Time_3,Prey_0,Prey_1,Prey_2,Prey_3,Pred_0,Pred_1,Pred_2,Pred_3
1148,A,50000,Predator_Free,0,1,2,3,38802,37772,108491,74923,0,0,0,0
1148,A,75000,Predator_Free,0,1,2,3,45305,30483,64264,86706,0,0,0,0
1148,A,100000,Predator_Free,0,1,2,3,29000,25237,47687,41985,0,0,0,0
1148,A,125000,Predator_Free,0,1,2,3,84551,69510,103354,118953,0,0,0,0
1148,A,0,Prey_Free,0,1,2,3,741,741,456,969,1150,960,1000,1190
1148,A,25000,Treatment,0,1,2,3,7180,2279,2052,2051,1000,1340,890,1288
1148,A,50000,Treatment,0,1,2,3,38974,11339,17436,8832,1090,1130,890,860
1148,A,75000,Treatment,0,1,2,3,41541,13219,13674,14644,1080,1380,1213,980
1148,A,100000,Treatment,0,1,2,3,21882,6895,7921,11056,1070,1100,1190,1070
1148,A,125000,Treatment,0,1,2,3,74128,22447,29059,20172,1070,1350,1188,825
1148,B,0,Predator_Free,0,1,2,3,741,2165,2336,10540,0,0,0,0
1148,B,25000,Predator_Free,0,1,2,3,10085,8831,10654,14357,0,0,0,0
1148,B,50000,Predator_Free,0,1,2,3,41372,25807,50764,65800,0,0,0,0
1148,B,75000,Predator_Free,0,1,2,3,37146,25921,47455,58508,0,0,0,0
1148,B,100000,Predator_Free,0,1,2,3,31963,21363,33961,31560,0,0,0,0
1148,B,125000,Predator_Free,0,1,2,3,72270,53050,103746,131380,0,0,0,0
1148,B,0,Prey_Free,0,1,2,3,1083,1254,57,570,1070,730,690,620
1148,B,25000,Treatment,0,1,2,3,5812,1880,2222,1710,1660,1100,940,1210
1148,B,50000,Treatment,0,1,2,3,32705,7236,20512,10484,1000,830,1150,980
1148,B,75000,Treatment,0,1,2,3,34016,7977,13959,6894,1270,1275,930,1588
1148,B,100000,Treatment,0,1,2,3,23076,5185,4786,6667,1110,1089,830,1070
1148,B,125000,Treatment,0,1,2,3,78002,18804,28544,14301,1370,1400,930,780
1148,C,0,Predator_Free,0,1,2,3,1196,684,570,456,0,0,0,0
1148,C,25000,Predator_Free,0,1,2,3,6894,5755,11453,39375,0,0,0,0
1148,C,50000,Predator_Free,0,1,2,3,39310,30421,41131,51843,0,0,0,0
1148,C,75000,Predator_Free,0,1,2,3,41821,49109,38056,60898,0,0,0,0
1148,C,100000,Predator_Free,0,1,2,3,24834,20623,28713,49563,0,0,0,0
1148,C,125000,Predator_Free,0,1,2,3,53780,43637,52867,46969,0,0,0,0
1148,C,0,Prey_Free,0,1,2,3,1026,1311,798,969,940,1250,1030,1100
1148,C,25000,Treatment,0,1,2,3,6724,1710,1596,1482,1040,1240,950,810
1148,C,50000,Treatment,0,1,2,3,38403,10372,5756,5755,1070,1260,1000,970
1148,C,75000,Treatment,0,1,2,3,35098,10541,13792,5642,1400,1020,889,1470
1148,C,100000,Treatment,0,1,2,3,62289,16982,13677,37157,1137,1220,940,1550
1148,C,125000,Treatment,0,1,2,3,81323,36922,36579,55731,1300,1070,930,2500
1391,A,0,Predator_Free,0,1,2,3,855,285,342,3191,0,0,0,0
1391,A,25000,Predator_Free,0,1,2,3,13786,36173,40792,18173,0,0,0,0
1391,A,50000,Predator_Free,0,1,2,3,40389,21931,54815,39652,0,0,0,0
1391,A,75000,Predator_Free,0,1,2,3,46029,63917,110415,53608,0,0,0,0
1391,A,100000,Predator_Free,0,1,2,3,57365,55997,87227,72973,0,0,0,0
1391,A,125000,Predator_Free,0,1,2,3,73430,99576,118409,140819,0,0,0,0
1391,A,0,Prey_Free,0,1,2,3,1197,627,2109,3363,810,950,520,580
1391,A,25000,Treatment,0,1,2,3,17720,8489,12592,45864,610,910,690,870
1391,A,50000,Treatment,0,1,2,3,45293,12249,15156,12534,600,1110,770,670
1391,A,75000,Treatment,0,1,2,3,42794,9628,23593,30310,620,1290,940,1170
1391,A,100000,Treatment,0,1,2,3,54471,20395,45242,30709,630,920,1110,900
1391,A,125000,Treatment,0,1,2,3,67912,47803,20344,36691,630,940,1630,1175
1391,B,0,Predator_Free,0,1,2,3,513,285,228,3646,0,0,0,0
1391,B,25000,Predator_Free,0,1,2,3,17091,20451,19824,19425,0,0,0,0
1391,B,50000,Predator_Free,0,1,2,3,54348,42496,43238,34862,0,0,0,0
1391,B,75000,Predator_Free,0,1,2,3,42782,108123,58059,40962,0,0,0,0
1391,B,100000,Predator_Free,0,1,2,3,67961,110285,58504,77815,0,0,0,0
1391,B,125000,Predator_Free,0,1,2,3,72803,77988,115359,167826,0,0,0,0
1391,B,0,Prey_Free,0,1,2,3,912,513,1140,4844,610,690,810,360
1391,B,25000,Treatment,0,1,2,3,9230,8433,22054,11338,850,840,1210,890
1391,B,50000,Treatment,0,1,2,3,22562,22961,6553,15212,540,890,980,750
1391,B,75000,Treatment,0,1,2,3,31451,6666,14360,25924,530,980,970,1250
1391,B,100000,Treatment,0,1,2,3,41363,8774,14928,16123,630,1050,1230,980
1391,B,125000,Treatment,0,1,2,3,78284,25695,8717,30654,870,1150,1250,1140
1391,C,0,Predator_Free,0,1,2,3,798,627,570,4900,0,0,0,0
1391,C,25000,Predator_Free,0,1,2,3,14356,9513,16122,53548,0,0,0,0
1391,C,50000,Predator_Free,0,1,2,3,29566,23982,35264,38908,0,0,0,0
1391,C,75000,Predator_Free,0,1,2,3,42952,38566,44149,81692,0,0,0,0
1391,C,100000,Predator_Free,0,1,2,3,70410,72063,72516,91770,0,0,0,0
1391,C,125000,Predator_Free,0,1,2,3,85508,118552,130624,218404,0,0,0,0
1391,C,0,Prey_Free,0,1,2,3,912,228,1140,4616,530,630,650,590
1391,C,25000,Treatment,0,1,2,3,10199,18119,8546,35502,570,650,1113,930
1391,C,50000,Treatment,0,1,2,3,21309,9913,10256,33220,630,1020,980,1080
1391,C,75000,Treatment,0,1,2,3,22561,12591,6609,16636,620,1020,1020,1390
1391,C,100000,Treatment,0,1,2,3,41648,12534,16011,22111,620,690,1160,1280
1391,C,125000,Treatment,0,1,2,3,63473,11964,11110,37719,720,930,1490,1690
1392,A,0,Predator_Free,0,1,2,3,540,342,342,3875,0,0,0,0
1392,A,25000,Predator_Free,0,1,2,3,12322,9572,15440,31963,0,0,0,0
1392,A,50000,Predator_Free,0,1,2,3,43617,40451,70739,77736,0,0,0,0
1392,A,75000,Predator_Free,0,1,2,3,73042,76486,68838,57092,0,0,0,0
1392,A,100000,Predator_Free,0,1,2,3,85229,85361,74696,85638,0,0,0,0
1392,A,125000,Predator_Free,0,1,2,3,122268,81721,72313,111282,0,0,0,0
1392,A,0,Prey_Free,0,1,2,3,2641,1140,798,6270,730,620,590,550
1392,A,25000,Treatment,0,1,2,3,13176,4616,3875,9004,700,820,570,640
1392,A,50000,Treatment,0,1,2,3,46806,24617,17549,21653,830,640,820,1340
1392,A,75000,Treatment,0,1,2,3,70411,47884,43775,29517,890,990,1310,1550
1392,A,100000,Treatment,0,1,2,3,91379,64961,25353,33848,630,890,1160,1780
1392,A,125000,Treatment,0,1,2,3,116273,79037,29057,26447,880,880,1260,1790
1392,B,0,Predator_Free,0,1,2,3,738,285,285,18294,0,0,0,0
1392,B,25000,Predator_Free,0,1,2,3,28252,42289,45639,38135,0,0,0,0
1392,B,50000,Predator_Free,0,1,2,3,46915,41828,35890,107462,0,0,0,0
1392,B,75000,Predator_Free,0,1,2,3,71567,54189,65084,115402,0,0,0,0
1392,B,100000,Predator_Free,0,1,2,3,102230,104492,85721,114071,0,0,0,0
1392,B,125000,Predator_Free,0,1,2,3,151421,132182,132527,226415,0,0,0,0
1392,B,0,Prey_Free,0,1,2,3,1761,741,1539,115945,600,990,880,540
1392,B,25000,Treatment,0,1,2,3,24479,12880,9746,110817,470,1140,1320,590
1392,B,50000,Treatment,0,1,2,3,45783,37334,19600,51626,460,920,1120,1140
1392,B,75000,Treatment,0,1,2,3,92359,25137,27176,62115,650,880,1420,1650
1392,B,100000,Treatment,0,1,2,3,89016,39941,30484,76493,640,1320,1220,1620
1392,B,125000,Treatment,0,1,2,3,99617,48100,34759,140641,660,1090,1190,2730
1392,C,0,Predator_Free,0,1,2,3,823,285,342,11796,0,0,0,0
1392,C,25000,Predator_Free,0,1,2,3,26974,26897,46850,46216,0,0,0,0
1392,C,50000,Predator_Free,0,1,2,3,25245,22562,23131,33731,0,0,0,0
1392,C,75000,Predator_Free,0,1,2,3,53356,58007,51280,58636,0,0,0,0
1392,C,100000,Predator_Free,0,1,2,3,103463,86996,118191,70477,0,0,0,0
1392,C,125000,Predator_Free,0,1,2,3,42929,38060,54482,38914,0,0,0,0
1392,C,0,Prey_Free,0,1,2,3,2613,3647,2679,174068,1040,930,1280,1470
1392,C,25000,Treatment,0,1,2,3,24138,10145,5015,82774,630,1090,990,1987
1392,C,50000,Treatment,0,1,2,3,20900,9290,7579,137076,1000,1070,1080,1420
1392,C,75000,Treatment,0,1,2,3,46148,21314,25358,96377,680,1270,1580,2100
1392,C,100000,Treatment,0,1,2,3,86220,61601,27631,249674,700,1340,1790,1700
1392,C,125000,Treatment,0,1,2,3,44100,31176,22052,135186,1110,1540,1950,2580
1393,A,0,Predator_Free,0,1,2,3,568,114,285,32716,0,0,0,0
1393,A,25000,Predator_Free,0,1,2,3,12548,6665,8032,54927,0,0,0,0
1393,A,50000,Predator_Free,0,1,2,3,36936,28484,24838,48658,0,0,0,0
1393,A,75000,Predator_Free,0,1,2,3,53148,32585,18571,99390,0,0,0,0
1393,A,100000,Predator_Free,0,1,2,3,122637,30876,22900,84151,0,0,0,0
1393,A,125000,Predator_Free,0,1,2,3,82614,44832,68815,56030,0,0,0,0
1393,A,0,Prey_Free,0,1,2,3,1904,684,2280,8663,830,620,1000,650
1393,A,25000,Treatment,0,1,2,3,10790,3988,7464,13048,940,820,730,830
1393,A,50000,Treatment,0,1,2,3,29503,28604,9288,16752,910,670,1330,890
1393,A,75000,Treatment,0,1,2,3,50290,21253,12136,17494,1000,830,1280,1240
1393,A,100000,Treatment,0,1,2,3,67096,23131,15725,22854,850,1290,1770,790
1393,A,125000,Treatment,0,1,2,3,96228,26779,20111,33450,930,1360,1810,1230
1393,B,0,Predator_Free,0,1,2,3,483,171,456,70214,0,0,0,0
1393,B,25000,Predator_Free,0,1,2,3,9766,6323,8203,71452,0,0,0,0
1393,B,50000,Predator_Free,0,1,2,3,30635,24098,24553,151225,0,0,0,0
1393,B,75000,Predator_Free,0,1,2,3,23736,16749,16122,73362,0,0,0,0
1393,B,100000,Predator_Free,0,1,2,3,61152,31447,27970,133716,0,0,0,0
1393,B,125000,Predator_Free,0,1,2,3,83497,35433,45819,142597,0,0,0,0
1393,B,0,Prey_Free,0,1,2,3,2101,1140,456,5909,690,700,690,1060
1393,B,25000,Treatment,0,1,2,3,9286,4330,3248,15554,650,800,700,1170
1393,B,50000,Treatment,0,1,2,3,7696,4730,3134,10426,810,730,1180,1200
1393,B,75000,Treatment,0,1,2,3,21524,10314,7805,13274,570,860,1150,1140
1393,B,100000,Treatment,0,1,2,3,60565,17377,12192,16579,780,810,1610,1250
1393,B,125000,Treatment,0,1,2,3,54917,38741,21594,16014,670,890,1190,1480
1393,C,0,Predator_Free,0,1,2,3,625,570,513,5071,0,0,0,0
1393,C,25000,Predator_Free,0,1,2,3,10788,7292,8716,6665,0,0,0,0
1393,C,50000,Predator_Free,0,1,2,3,10903,8261,5640,7919,0,0,0,0
1393,C,75000,Predator_Free,0,1,2,3,25157,15382,12874,14698,0,0,0,0
